Atributo 1,Atributo 2,Atributo 3,Atributo 4,Categoria
389.485,178.78,255.4,83.00500000000001,Grupo A
402.255,159.625,312.865,95.775,Grupo A
389.485,178.78,300.095,76.62,Grupo A
408.64,185.165,274.555,83.00500000000001,Grupo A
421.41,191.55,280.94000000000005,89.39,Grupo A
434.18,178.78,306.48,89.39,Grupo A
427.795,191.55,319.25,108.545,Grupo C
383.1,185.165,287.325,95.775,Grupo A
363.945,166.01000000000002,223.475,63.85,Grupo A
351.175,153.24,242.63,70.23500000000001,Grupo A
351.175,153.24,236.245,63.85,Grupo A
370.33,172.395,249.015,76.62,Grupo A
383.1,172.395,325.635,102.16,Grupo A
344.79,191.55,287.325,95.775,Grupo A
383.1,217.09,287.325,102.16,Grupo A
427.795,197.935,300.095,95.775,Grupo A
402.255,146.855,280.94000000000005,83.00500000000001,Grupo A
357.56,191.55,261.785,83.00500000000001,Grupo A
351.175,159.625,255.4,83.00500000000001,Grupo A
351.175,166.01000000000002,280.94000000000005,76.62,Grupo A
389.485,191.55,293.71,89.39,Grupo A
370.33,166.01000000000002,255.4,76.62,Grupo A
319.25,146.855,210.705,63.85,Grupo A
357.56,172.395,268.17,83.00500000000001,Grupo A
363.945,191.55,268.17,76.62,Grupo A
363.945,185.165,268.17,83.00500000000001,Grupo A
395.87,185.165,274.555,83.00500000000001,Grupo A
325.635,159.625,191.55,70.23500000000001,Grupo A
363.945,178.78,261.785,83.00500000000001,Grupo A
402.255,210.705,383.1,159.625,Grupo C
370.33,172.395,325.635,121.315,Grupo A
453.335,191.55,376.715,134.085,Grupo C
402.255,185.165,357.56,114.93,Grupo C
415.025,191.55,370.33,140.47000000000003,Grupo C
485.26,191.55,421.41,134.085,Grupo C
312.865,159.625,287.325,108.545,Grupo A
466.105,185.165,402.255,114.93,Grupo C
427.795,159.625,370.33,114.93,Grupo C
459.72,229.86,389.485,159.625,Grupo C
415.025,204.32,325.635,127.7,Grupo C
408.64,172.395,338.405,121.315,Grupo C
434.18,191.55,351.175,134.085,Grupo C
363.945,159.625,319.25,127.7,Grupo A
370.33,178.78,325.635,153.24,Grupo A
408.64,204.32,338.405,146.855,Grupo C
415.025,191.55,351.175,114.93,Grupo C
491.645,242.63,427.795,140.47000000000003,Grupo C
491.645,166.01000000000002,440.56500000000005,146.855,Grupo C
383.1,140.47000000000003,319.25,95.775,Grupo A
440.56500000000005,204.32,363.945,146.855,Grupo C
357.56,178.78,312.865,127.7,Grupo A
491.645,178.78,427.795,127.7,Grupo C
402.255,172.395,312.865,114.93,Grupo A
427.795,210.705,363.945,134.085,Grupo C
459.72,204.32,383.1,114.93,Grupo C
395.87,178.78,306.48,114.93,Grupo A
389.485,191.55,312.865,114.93,Grupo A
408.64,178.78,357.56,134.085,Grupo C
459.72,191.55,370.33,102.16,Grupo C
472.49,178.78,389.485,121.315,Grupo C
504.415,242.63,408.64,127.7,Grupo C
408.64,178.78,357.56,140.47000000000003,Grupo C
402.255,178.78,325.635,95.775,Grupo A
389.485,166.01000000000002,357.56,89.39,Grupo C
491.645,191.55,389.485,146.855,Grupo C
402.255,217.09,357.56,153.24,Grupo C
408.64,197.935,351.175,114.93,Grupo C
383.1,191.55,306.48,114.93,Grupo A
440.56500000000005,197.935,344.79,134.085,Grupo C
427.795,197.935,357.56,153.24,Grupo C
440.56500000000005,197.935,325.635,146.855,Grupo C
370.33,172.395,325.635,121.315,Grupo A
434.18,204.32,376.715,146.855,Grupo C
427.795,210.705,363.945,159.625,Grupo C
427.795,191.55,332.02000000000004,146.855,Grupo C
402.255,159.625,319.25,121.315,Grupo A
415.025,191.55,332.02000000000004,127.7,Grupo C
395.87,217.09,344.79,146.855,Grupo C
376.715,191.55,325.635,114.93,Grupo A
